"";"player_id";"firstname";"lastname";"birthdate";"birth_country";"birth_state";"birth_city";"pos";"team";"number";"status";"depth_chart";"height";"weight";"highschool";"college";"experience";"practice";"injurystatus";"injurybodypart";"injurystart";"espn_id";"fantasy_data_id";"gsis_id";"pandascore_id";"rotowire_id";"rotoworld_id";"sportsradar_id";"stats_id";"yahoo_id";"act_year";"inleaguesince"
"1";"2103";"Cody";"Booth";"1991-04-22";NA;NA;NA;"OT";NA;"60";"Inactive";NA;"6'5""";"285";NA;"Temple";"1";NA;NA;NA;NA;"17054";"16426";NA;NA;"9866";NA;"4cd4976e-e230-4935-ad3f-c12876a41350";NA;"27841";2020;2019
"2";"6250";"Eurndraus";"Bryant";NA;NA;NA;NA;"DT";NA;"0";"Inactive";NA;"";"";NA;NA;"0";NA;"NA";NA;NA;"3916426";"21183";NA;NA;NA;NA;"9ff46edb-988f-4c8a-ad56-0502808ca1a6";NA;"32538";2020;2020
"3";"4116";"Antonio";"Garcia";"1993-12-10";NA;NA;NA;"OT";NA;"71";"Inactive";NA;"6'6""";"293";NA;"Troy";"3";NA;NA;NA;NA;"2972820";"18962";"00-0033922";NA;"11794";"12247";"a2b6e1f9-1f06-45e3-b6e9-79ec8490e5ef";NA;"30198";2020;2017
"4";"6177";"Khalen";"Saunders";"1996-08-09";NA;NA;NA;"NT";"KC";"99";"Active";"2";"6'0""";"324";NA;"Western Illinois";"1";NA;NA;NA;NA;"3121634";"20934";" 00-0035656";NA;"13746";NA;"757c55e1-2f3a-41d2-a211-16bf577a1586";NA;"31916";2020;2019
"5";"5870";"Daniel";"Jones";"1997-05-27";NA;NA;NA;"QB";"NYG";"8";"Active";"1";"6'5""";"221";NA;"Duke";"1";NA;NA;NA;NA;"3917792";"20841";" 00-0035710";NA;"13491";"13963";"0042266b-cb28-4012-bfd2-06650badad97";"879981";"31838";2020;2019
"6";"4297";"Jarnor";"Jones";"1994-04-29";NA;NA;NA;"ILB";NA;"40";"Inactive";NA;"6'3""";"210";NA;"Iowa State";"2";NA;NA;NA;NA;"3892776";"19145";NA;NA;NA;NA;"508a854c-2fc5-47e1-9376-0151f45963c1";NA;"30454";2020;2018
"7";"1347";"Chris";"Gragg";"1990-06-30";NA;NA;NA;"TE";NA;"87";"Inactive";NA;"6'3""";"244";NA;"Arkansas";"6";NA;NA;NA;NA;"15940";"14866";NA;NA;"8788";NA;"36521d92-2c2c-4ae4-9b60-9928c3167e30";"465638";"26845";2020;2014
"8";"5381";"Johnny";"Townsend";"1995-02-14";NA;NA;NA;"P";NA;NA;"Inactive";NA;"6'1""";"210";NA;"Florida";"2";NA;NA;NA;NA;"3054971";"19995";"00-0034684";NA;"12777";NA;"2eb0706c-3017-4895-a207-71d6fe9e1549";"748627";"31143";2020;2018
"9";"1023";"Mike";"Pouncey";"1989-07-24";NA;NA;NA;"C";"LAC";"53";"Active";"1";"6'5""";"298";NA;"Florida";"9";NA;"Questionable";NA;NA;"13974";"13698";"00-0027953";NA;"7548";"6478";"041c36ad-0d7d-4ed1-8157-95092b3027a4";NA;"24802";2020;2011
"10";"5300";"Kenny";"Young";"1994-11-15";NA;NA;NA;"ILB";"LAR";"41";"Active";"1";"6'1""";"234";NA;"UCLA";"2";NA;NA;NA;NA;"3134310";"19926";"00-0034266";NA;"12689";NA;"13a9ad48-6886-4390-b2d8-9c79cda111d1";NA;"31092";2020;2018
"11";"7328";"Asmar";"Bilal";"1997-04-12";NA;NA;NA;"LB";"LAC";"57";"Practice Squad";NA;"6'2""";"227";NA;"Notre Dame";"0";NA;NA;NA;NA;"3932422";"22320";NA;NA;"15017";NA;"621e177a-e23d-489e-a747-369eb662f0de";NA;"32974";2020;2020
"12";"608";"Corey";"Peters";"1988-06-08";NA;NA;NA;"DE";"ARI";"98";"Active";"1";"6'3""";"335";NA;"Kentucky";"10";NA;NA;NA;NA;"13292";"11437";"00-0027686";NA;"6682";"5886";"a50e3085-370b-4fd2-b79a-28d3b9c5c1c7";NA;"24058";2020;2010
"13";"3925";"Lee";"Hightower";"1993-07-28";NA;NA;NA;"FS";NA;"39";"Inactive";NA;"6'2""";"192";NA;"Houston";"3";NA;NA;NA;NA;"2573308";"18754";NA;NA;"11626";NA;"2ac6848d-1482-4a1b-b4ee-886ccaef270d";NA;"30053";2020;2017
"14";"3396";"Charone";"Peake";"1992-10-16";NA;NA;NA;"WR";NA;NA;"Inactive";"7";"6'2""";"209";NA;"Clemson";"4";NA;NA;NA;NA;"2576498";"18157";"00-0032959";NA;"11001";"11410";"58ea6518-6fb7-4e5a-a586-7202d4c5f07e";"602104";"29475";2020;2016
"15";"3956";"Kelvin";"Fisher Jr";NA;NA;NA;NA;NA;NA;"8";"Inactive";NA;"5'11""";"200";NA;"None";"0";NA;NA;NA;NA;"2574518";"18789";NA;NA;NA;NA;"";NA;NA;2020;2020
"16";"6343";"Manny";"Wilkins";"1995-11-05";NA;NA;NA;"QB";NA;NA;"Inactive";NA;"6'2""";"193";NA;"Arizona State";"1";NA;NA;NA;NA;"3128814";"21260";" 00-0035077";NA;"13968";NA;"941662f4-da41-48cf-a663-cfbd011491bb";"820627";"32282";2020;2019
"17";"3199";"Michael";"Thomas";"1993-03-03";NA;NA;NA;"WR";"NO";"13";"Active";"1";"6'3""";"212";NA;"Ohio State";"4";NA;NA;NA;NA;"2976316";"17960";"00-0032765";NA;"10759";"11222";"90c1756d-1f47-41b7-89fe-b113c9850bc1";"653699";"29281";2020;2016
"18";"1850";"Tajh";"Boyd";"1990-09-25";NA;NA;NA;"QB";NA;"3";"Inactive";NA;"6'1""";"222";NA;"Clemson";"1";NA;NA;NA;NA;"16812";"16058";NA;NA;NA;NA;"75404d15-88d6-43e0-9258-27112b070a43";"506599";NA;2020;2019
"19";"6487";"Charles";"Scarff";"1996-05-03";NA;NA;NA;"TE";NA;NA;"Inactive";"3";"6'5""";"249";NA;"Delaware";"1";NA;NA;NA;NA;"3127376";"21275";" 00-0035119";NA;"14120";NA;"0c49b066-56ef-42dd-b9f1-1e956cced841";"838249";"32314";2020;2019
"20";"2355";"Ronald";"Darby";"1994-01-02";NA;NA;NA;"CB";"WAS";"23";"Active";"2";"5'11""";"194";NA;"Florida State";"5";NA;NA;NA;NA;"2969920";"16811";"00-0032195";NA;"10408";"10375";"c63eb787-fa1f-406b-82a1-2eed0a65b58c";NA;"28438";2020;2015
"21";"6818";"Justin";"Madubuike";"1997-11-17";NA;NA;NA;"DT";"BAL";"92";"Active";"2";"6'3""";"293";NA;"Texas A&M";"0";NA;"Questionable";NA;NA;"4035245";"21900";NA;NA;"14380";NA;"904f702b-e8b1-4fef-a4a0-278d18cc15e3";NA;"32741";2020;2020
"22";"257";"Husain";"Abdullah";"1985-07-27";NA;NA;NA;"FS";NA;"39";"Inactive";NA;"6'0""";"204";NA;"Washington State";"7";NA;NA;NA;NA;"11910";"6411";NA;NA;"6297";"5026";"1c4cf2d1-5bcf-457a-9f5b-34e4949edfcd";NA;"9063";2020;2013
"23";"6898";"Anthony";"Gordon";"1996-08-28";NA;NA;NA;"QB";NA;NA;"Inactive";"3";"6'2""";"201";NA;"Washington State";"0";NA;NA;NA;NA;"4055171";"21816";NA;NA;"14431";NA;"71a2444a-a6b1-4e62-8974-2d858e2c5b73";NA;"33266";2020;2020
"24";"2817";"Daniel";"Rodriguez";"1988-01-08";NA;NA;NA;"WR";NA;"3";"Inactive";NA;"5'8""";"180";NA;"Clemson";"0";NA;NA;NA;NA;"2983134";"17285";NA;NA;NA;NA;"fa1ac661-9b71-4dbd-8321-f3c6a7ec79e6";"700055";"29089";2020;2020
"25";"1952";"Andre";"Hal";"1992-05-30";NA;NA;NA;"FS";NA;"29";"Inactive";NA;"5'10""";"188";NA;"Vanderbilt";"6";NA;NA;NA;NA;"17467";"16203";"00-0031087";NA;"9676";"9628";"513caa63-d30d-4cde-b605-8cf825a4ef27";"555644";"27744";2020;2014
"26";"3210";"Cardale";"Jones";"1992-09-29";NA;NA;NA;"QB";NA;"10";"Inactive";NA;"6'5""";"253";NA;"Ohio State";"4";NA;NA;NA;NA;"2976299";"17971";"00-0033098";NA;"11007";"10325";"92c02ef1-8400-4f5a-9420-6458755e14d4";"653682";"29373";2020;2016
"27";"4148";"Carl";"Lawson";"1995-06-29";NA;NA;NA;"DE";"CIN";"58";"Active";"2";"6'2""";"265";NA;"Auburn";"3";NA;NA;NA;NA;"3051911";"18994";"00-0033463";NA;"11926";"12240";"e75ed538-1888-4864-bd1d-e703d1ce4b5b";NA;"30229";2020;2017
"28";"5781";"Malik";"Turner";"1996-01-30";NA;NA;NA;"WR";"DAL";NA;"Active";"2";"6'2""";"202";NA;"Illinois";"2";NA;NA;NA;NA;"3115928";"20684";"00-0034867";NA;"13378";"13906";"82a7e1ff-019a-4f4b-aeb6-c41420e44891";"830686";"31777";2020;2018
"29";"4888";"Mark";"Helfrich";NA;NA;NA;NA;NA;NA;"0";"Inactive";NA;"";"";NA;NA;"0";NA;NA;NA;NA;NA;"19786";NA;NA;NA;"13066";"";NA;NA;2020;2020
"30";"6992";"Mike";"Warren";"1998-11-12";NA;NA;NA;"RB";"PHI";"38";"Practice Squad";"6";"5'9""";"218";NA;"Cincinnati";"0";NA;NA;NA;NA;"4239083";"21793";NA;NA;"14496";NA;"4a096c4e-7738-43b3-984c-7ea604a96742";NA;"32972";2020;2020
"31";"1746";"Tevita";"Finau";"1986-01-13";NA;NA;NA;"DE";NA;"92";"Inactive";NA;"6'4""";"283";NA;"Utah";"1";NA;NA;NA;NA;"15704";"15736";NA;NA;NA;NA;"d65f9afe-1001-4c56-9b0e-957250f79316";NA;"26139";2020;2019
"32";"3124";"Ray";"Horton";NA;NA;NA;NA;NA;NA;"0";"Inactive";NA;"";"";NA;NA;"0";NA;NA;NA;NA;NA;"17878";NA;NA;NA;"9300";"";NA;NA;2020;2020
"33";"2041";"Torrence";"Allen";"1991-03-31";NA;NA;NA;"WR";NA;"83";"Inactive";NA;"6'0""";"190";NA;"West Texas A&M";"2";NA;NA;NA;NA;"16962";"16333";NA;NA;"10061";NA;"ec251689-808b-4f35-b1f7-743d4a37722a";"794253";"27844";2020;2018
"34";"2286";"Andrew";"Furney";"1991-06-23";NA;NA;NA;"K";NA;"8";"Inactive";NA;"5'10""";"215";NA;"Washington State";"1";NA;NA;NA;NA;"17492";"16719";NA;NA;NA;NA;"4b482230-621c-4b7f-8d5d-cf50da82e7c4";"560191";NA;2020;2019
"35";"4211";"Dylan";"Donahue";"1992-08-20";NA;NA;NA;"OLB";NA;"49";"Inactive";"2";"6'3""";"241";NA;"West Georgia";"3";NA;NA;NA;NA;"2584628";"19057";"00-0033961";NA;"11912";NA;"139d8533-cbd7-4a41-9567-f1ce1c641311";NA;"30294";2020;2017
"36";"WAS";"Washington";"Football Team";NA;NA;NA;NA;"DEF";"WAS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020;NA
"37";"1294";"Josh";"Chapman";"1989-06-10";NA;NA;NA;"NT";NA;"96";"Inactive";NA;"6'1""";"316";NA;"Alabama";"4";NA;NA;NA;NA;"15039";"14760";NA;NA;NA;NA;"2f0190fc-16ce-486c-bcb5-f752ed345275";NA;"25846";2020;2016
"38";"2050";"Branden";"Oliver";"1991-05-07";NA;NA;NA;"RB";NA;"40";"Inactive";NA;"5'6""";"208";NA;"Buffalo";"6";NA;NA;NA;NA;"17452";"16345";"00-0031277";NA;"9550";"10198";"7dac43ce-3a74-4033-b63f-bf9171a24a55";"506492";"28272";2020;2014
"39";"256";"Rian";"Lindell";"1977-01-20";NA;NA;NA;"K";NA;"4";"Inactive";NA;"6'3""";"233";NA;"Washington State";"14";NA;NA;NA;NA;NA;"6410";NA;NA;NA;NA;"";NA;NA;2020;2006
